,meta.numFound,meta.start,data.id,data.counter_total_all,data.publication_date,data.author,data.pagecount,data.volume,data.copyright,data.financial_disclosure,data.title
1022,2620,2501,10.1371/journal.pone.0117171,2680,2015-02-06T00:00:00Z,"Tao Deng,Ze-Long Nie,Bryan T Drew,Sergei Volis,Changkyun Kim,Chun-Lei Xiang,Jian-Wen Zhang,Yue-Hua Wang,Hang Sun",18,10," This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CCO  public domain dedication","This study was supported by grants-in-aid from the Strategic Priority Research Program of the Chinese Academy of Sciences (XDB03030106), NSFC-Yunnan Natural Science Foundation United Project (Grant no. U1136601) and The CAS/SAFEA International Partnership Program for Creative Research Teams, Hundred Talents Program of the Chinese Academy of Sciences (2011312D11022). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Does the Arcto-Tertiary Biogeographic Hypothesis Explain the Disjunct Distribution of Northern Hemisphere Herbaceous Plants? The Case of Meehania (Lamiaceae)
2017,2620,2501,10.1371/journal.pone.0117188,2828,2015-02-06T00:00:00Z,"Verónica Quintero-Hernández,Santos Ramírez-Carreto,María Teresa Romero-Gutiérrez,Laura L Valdez-Velázquez,Baltazar Becerril,Lourival D Possani,Ernesto Ortiz",18,10,"Quintero-Hernández et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","The work described here was partially financed by grants from the Consejo Nacional de Ciencia y Tecnología (CONACyT) of the Mexican Government (SEP-CONACyT #153496) and Dirección General de Asuntos del Personal Académico (DGAPA) of the National Autonomous University of Mexico (grant #200113) to LDP. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Transcriptome Analysis of Scorpion Species Belonging to the Vaejovis Genus
2353,2620,2501,10.1371/journal.pone.0117562,4415,2015-02-10T00:00:00Z,"Dominique A Cowart,Miguel Pinheiro,Olivier Mouchel,Marion Maguer,Jacques Grall,Jacques Miné,Sophie Arnaud-Haond",26,10,"Cowart et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This research was funded by a grant from Total Exploration & Production (FR00003996) to SAH. The funding institution had no role in the data collections, analyses and interpretations of this study. However, the funding organization did have a role in conceiving and designing the study, as well as in the contributions to the final manuscript. Additionally, the funding organization in no way restricted the data and results presented in this manuscript.",Metabarcoding Is Powerful yet Still Blind: A Comparative Analysis of Morphological and Molecular Surveys of Seagrass Communities
1599,2620,2501,10.1371/journal.pone.0115477,5758,2015-02-12T00:00:00Z,"Ignacio Díaz-Martínez,Xabier Pereda-Suberbiola,Félix Pérez-Lorente,José Ignacio Canudo",50,10,"Díaz-Martínez et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This paper is a contribution to the projects: IT834-13 of the Gobierno Vasco/Eusko Jaurlaritza; CGL2010-16447 subsidized by the Spanish Ministerio de Economía y Competitividad (MINECO), the European Regional Development Fund, and the Government of Aragón (“Grupos Consolidados” and “Dirección General de Patrimonio Cultural”); the project CGL2010-18851/BTE (MINECO); and the project CGL2013-47521-P (MINECO). IDM is the beneficiary of a Postdoctoral grant from the Gobierno de Argentina (CONICET). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Ichnotaxonomic Review of Large Ornithopod Dinosaur Tracks: Temporal and Geographic Implications
328,2620,2501,10.1371/journal.pone.0117944,11624,2015-02-17T00:00:00Z,"Tito Aureliano,Aline M Ghilardi,Edson Guilherme,Jonas P Souza-Filho,Mauro Cavalcanti,Douglas Riff",14,10,"Aureliano et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","The publication cost was fully funded by FAPEMIG and the Post Graduation Department of UFU. The links are: http://www.fapemig.br/ and http://www.portal.ib.ufu.br/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Morphometry, Bite-Force, and Paleobiology of the Late Miocene Caiman Purussaurus brasiliensis"
1088,2620,2501,10.1371/journal.pone.0116830,6814,2015-02-18T00:00:00Z,Bastien Mennecart,28,10,"Bastien Mennecart This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This study has been funded by the Swiss National Science Foundation project PBFRP2_145900. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The European Ruminants during the “Microbunodon Event” (MP28, Latest Oligocene): Impact of Climate Changes and Faunal Event on the Ruminant Evolution"
1260,2620,2501,10.1371/journal.pone.0118118,7623,2015-02-18T00:00:00Z,"Tanya M Smith,Paul Tafforeau,Adeline Le Cabec,Anne Bonnin,Alexandra Houssaye,Joane Pouech,Jacopo Moggi-Cecchi,Fredrick Manthi,Carol Ward,Masrour Makaremi,Colin G Menter",20,10,"Smith et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This work was supported by funding from the National Science Foundation, BCS 1126470, T.M.S., P.T.; Radcliffe Institute for Advance Study, T.M.S.; Wenner-Gren Hunt Fellowship, T.M.S.; Harvard University, T.M.S.; the National Research Foundation of South Africa, C.M.; the Italian Ministry of Foreign Affairs (Direzione Generale per la Promozione e la Cooperazione Culturale, ufficio V, Archaeology), J.M-C.; the Italian Embassy and Italian Cultural Institute in Pretoria,  J.M-C.; and the European Synchrotron Radiation Facility, EC 275 & 697, T.M.S., C.M. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Dental Ontogeny in Pliocene and Early Pleistocene Hominins
1920,2620,2501,10.1371/journal.pone.0117539,1851,2015-02-18T00:00:00Z,"Joel W Aspden,Carol L Armstrong,Cristian I Gutierrez-Ibanez,Richard Hawkes,Andrew N Iwaniuk,Tobias Kohl,David J Graham,Douglas R Wylie",11,10,"Aspden et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","Supported by funding from the Natural Sciences and Engineering Research Council of Canada (http://www.nserc-crsng.gc.ca/Index_eng.asp) to DRW and ANI. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Zebrin II / Aldolase C Expression in the Cerebellum of the Western Diamondback Rattlesnake (Crotalus atrox)
1921,2620,2501,10.1371/journal.pone.0117079,5669,2015-02-18T00:00:00Z,"Momo Yamashita,Takuya Konishi,Tamaki Sato",16,10,"Yamashita et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited",The authors received no specific funding for this work.,Sclerotic Rings in Mosasaurs (Squamata: Mosasauridae): Structures and Taxonomic Diversity
2056,2620,2501,10.1371/journal.pone.0118100,3108,2015-02-18T00:00:00Z,"Femke M Holwerda,Diego Pol,Oliver W M Rauhut",21,10,"Holwerda et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","FH is funded by DFG (Deutsche Forschungs Gemeinschaft) project RA 1012/13-1 (to OR). Part of this research was funded by PICT 0808 to DP. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Using Dental Enamel Wrinkling to Define Sauropod Tooth Morphotypes from the Cañadón Asfalto Formation, Patagonia, Argentina"
2387,2620,2501,10.1371/journal.pone.0118162,1577,2015-02-18T00:00:00Z,"Jéssica F Felappi,Renata C Vieira,Nelson J R Fagundes,Laura V Verrastro",19,10,"Felappi et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","The authors received funding for this study from the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq—http://www.cnpq.br/), grant #479412/2008-1 to LVV. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","So Far Away, Yet So Close: Strong Genetic Structure in Homonota uruguayensis (Squamata, Phyllodactylidae), a Species with Restricted Geographic Distribution in the Brazilian and Uruguayan Pampas"
2237,2620,2501,10.1371/journal.pone.0116585,2956,2015-02-20T00:00:00Z,"Ann-Katrin Llarena,Adeline Huneau,Marjaana Hakkinen,Marja-Liisa Hänninen",18,10,"Llarena et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This work was supported by Finnish Ministry of Agriculture and Forestry grant [No. MMM2054/312/11] and by Coordination of European Research on Emerging and Major Infectious Diseases of Livestock (EMIDA ERA-NET) (Dnro 776/312/2012) through the project entitled Biology and Control of Campylobacter in the Chicken Supply Chain (CamChain). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Predominant Campylobacter jejuni Sequence Types Persist in Finnish Chicken Production
675,2620,2501,10.1371/journal.pone.0117281,3440,2015-02-23T00:00:00Z,David K Smith,16,10,"David K. Smith This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited",The author has no support or funding to report.,Craniocervical Myology and Functional Morphology of the Small-Headed Therizinosaurian Theropods Falcarius utahensis and Nothronychus mckinleyi
1794,2620,2501,10.1371/journal.pone.0118515,2603,2015-02-23T00:00:00Z,"Caio T C C Rachid,Fabiano C Balieiro,Eduardo S Fonseca,Raquel Silva Peixoto,Guilherme M Chaer,James M Tiedje,Alexandre S Rosado",13,10,"Rachid et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This work received funding from the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq), Fundação de Amparo à Pesquisa do Estado do Rio de Janeiro (FAPERJ), Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), Fundação de Amparo à Pesquisa do Estado de São Paulo (Fapesp, no 2010/16623-9), and the DOE Great Lakes Bioenergy Research Center (DOE Office of Science BER DE-FC02-07ER64494). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Intercropped Silviculture Systems, a Key to Achieving Soil Fungal Community Management in Eucalyptus Plantations"
1918,2620,2501,10.1371/journal.pone.0117730,3991,2015-02-23T00:00:00Z,"Alana C Sharp,Peter W Trusler",19,10,"Sharp, Trusler This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited",These authors have no support or funding to report.,Morphology of the Jaw-Closing Musculature in the Common Wombat (Vombatus ursinus) Using Digital Dissection and Magnetic Resonance Imaging
96,2620,2501,10.1371/journal.pone.0118409,5753,2015-02-25T00:00:00Z,"Alexandra Houssaye,Paul Tafforeau,Christian de Muizon,Philip D Gingerich",28,10,"Houssaye et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited"," AH acknowledges financial support from the A. v. Humboldt Foundation and from the ANR-13-PDOC-001. Specimens from Pakistan and Egypt were collected with multiple grants from the National Geographic Society and the U. S. National Science Foundation. The holotype of Cynthiacetus peruvianus was collected with funds of the Institut Français d’Études Andines (Lima, Peru). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Transition of Eocene Whales from Land to Sea: Evidence from Bone Microstructure
260,2620,2501,10.1371/journal.pone.0118116,3545,2015-02-25T00:00:00Z,Alan H Turner,39,10,"Alan H. Turner This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This work was supported by the Research Foundation of the State University of New York and by a grant from the National Science Foundation (NSF DEB 1257485) to AHT. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","A Review of Shamosuchus and Paralligator (Crocodyliformes, Neosuchia) from the Cretaceous of Asia"
457,2620,2501,10.1371/journal.pone.0118240,6343,2015-02-25T00:00:00Z,"Courtney A Hofman,Torben C Rick,Melissa T R Hawkins,W Chris Funk,Katherine Ralls,Christina L Boser,Paul W Collins,Tim Coonan,Julie L King,Scott A Morrison,Seth D Newsome,T Scott Sillett,Robert C Fleischer,Jesus E Maldonado",15,10," This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication","This research was funded by the Smithsonian Grand Challenges Consortia (CAH, JEM, TCR, RCF, TSS, KR), the Cosmos Club Foundation (CAH), an Amazon Web Services Education Research Grant (CAH), a National Museum of Natural History small grant (CAH, TR, JEM), and the National Science Foundation Dissertation Improvement Grant (CAH) (BCS-1338773). Roche 454 Life Sciences (RCF, JEM, CAH) provided support with lab equipment and reagents that greatly enhanced the initial phase of this research. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Mitochondrial Genomes Suggest Rapid Evolution of Dwarf California Channel Islands Foxes (Urocyon littoralis)
740,2620,2501,10.1371/journal.pone.0118563,2894,2015-02-25T00:00:00Z,"Marcel B Lacerda,Cesar L Schultz,Cristina Bertoni-Machado",12,10,"Lacerda et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","The funding was made possible by the Conselho Nacional de Desenvolvimento Científico e Tecnológico of the Brazilian government in the form of scholarships for two of the authors (MBL and CLS, specifically). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","First 'Rauisuchian' archosaur (Pseudosuchia, Loricata) for the Middle Triassic Santacruzodon Assemblage Zone (Santa Maria Supersequence), Rio Grande do Sul State, Brazil"
781,2620,2501,10.1371/journal.pone.0118380,6340,2015-02-25T00:00:00Z,"Eric Snively,Julia M Fahlke,Robert C Welsh",23,10,"Snively et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","Funding was provided by a Feodor Lynen Fellowship of the Alexander von Humboldt Foundation (JMF), Russ College, Ohio University, Athens (ES), and the College of Science and Health, University of Wisconsin–La Crosse (ES). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Bone-Breaking Bite Force of Basilosaurus isis (Mammalia, Cetacea) from the Late Eocene of Egypt Estimated by Finite Element Analysis"
2047,2620,2501,10.1371/journal.pone.0118455,2768,2015-02-25T00:00:00Z,"Maria Nord,Pär Forslund",16,10,"Nord, Forslund This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","The study was supported by a research grant to PF from the Swedish Research Council Formas (grant number 215-2007-1353, http://www.formas.se/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Environmental Gradients Explain Species Richness and Community Composition of Coastal Breeding Birds in the Baltic Sea
2502,2620,2501,10.1371/journal.pone.0118314,6588,2015-03-03T00:00:00Z,"Petteri Nieminen,Esko Ryökäs,Anne-Mari Mustonen",19,10,"Nieminen et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited",The authors have no support or funding to report.,Experiential Thinking in Creationism—A Textual Analysis
1632,2620,2501,10.1371/journal.pone.0118732,2659,2015-03-04T00:00:00Z,"Kari L Allen,Siobhán B Cooke,Lauren A Gonzales,Richard F Kay",22,10,"Allen et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This research was supported by NSF grants NSF BNS-0851272 and NSF EAR 1338694 to RFK and NSF DDIG 40761-0001 to SBC. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Dietary Inference from Upper and Lower Molar Morphology in Platyrrhine Primates
2068,2620,2501,10.1371/journal.pone.0120645,2410,2015-03-10T00:00:00Z,"Bruno Leles,Anderson V Chaves,Philip Russo,João A N Batista,Maria Bernadete Lovato",19,10,"Leles et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This study was funded by the Fundação Boticário and by the Fundação de Amparo à Pesquisa do Estado de Minas Gerais (FAPEMIG). The Pro-Reitoria de Pesquisa of the Universidade Federal de Minas Gerais provided resources for editing the language of the manuscript. MBL received research fellowships from CNPq. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Genetic Structure Is Associated with Phenotypic Divergence in Floral Traits and Reproductive Investment in a High-Altitude Orchid from the Iron Quadrangle, Southeastern Brazil"
2430,2620,2501,10.1371/journal.pone.0116485,2843,2015-03-10T00:00:00Z,"Hua-Feng Wang,Sven Landrein,Wen-Pan Dong,Ze-Long Nie,Katsuhiko Kondo,Tsuneo Funamoto,Jun Wen,Shi-Liang Zhou",26,10," This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication","This study was partly supported by grants from the Ministry of Science and Technology of China (2012AA021602, 2011FY120200, 2012BAC01B05), National Natural Science Foundation of China (31270239, 41201049, 31129001), IICT and the Innovation International Collaborative Team Grant from the Chinese Academy of Sciences. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Molecular Phylogeny and Biogeographic Diversification of Linnaeoideae (Caprifoliaceae s. l.) Disjunctly Distributed in Eurasia, North America and Mexico"
502,2620,2501,10.1371/journal.pone.0118582,7257,2015-03-11T00:00:00Z,"Maya Yamato,Nicholas D Pyenson",15,10," This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication","Support for this work came from a NMNH Peter Buck Postdoctoral Fellowship to MY, and the NMNH Remington Kellogg Fund to NDP (http://www.mnh.si.edu/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Early Development and Orientation of the Acoustic Funnel Provides Insight into the Evolution of Sound Reception Pathways in Cetaceans
880,2620,2501,10.1371/journal.pone.0119802,44377,2015-03-11T00:00:00Z,"Davorka Radovcic,Ankica Oros Sršen,Jakov Radovcic,David W Frayer",14,10,"Radovcic et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited",The authors have no funding or support to report.,Evidence for Neandertal Jewelry: Modified White-Tailed Eagle Claws at Krapina
1065,2620,2501,10.1371/journal.pone.0118882,9834,2015-03-11T00:00:00Z,"Laura B Porro,Emily J Rayfield,Jennifer A Clack",32,10,"Porro et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This work is funded by a Marie Curie International Incoming Research Fellowship (“Tetrapods Rising”, 303161, (http://cordis.europa.eu/projects/rcn/103929_en.html) to LBP. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Descriptive Anatomy and Three-Dimensional Reconstruction of the Skull of the Early Tetrapod Acanthostega gunnari Jarvik, 1952"
2171,2620,2501,10.1371/journal.pone.0116401,3305,2015-03-11T00:00:00Z,"Lia Hadas,Dalia Hermon,Amizor Boldo,Gal Arieli,Ron Gafny,Roni King,Gila Kahila Bar-Gal",18,10,"Hadas et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited",The Israel Nature and Parks Authority provided partial support for the work. AB GA and RK are employees of the Israel Nature and Parks Authority and assisted in the design of the study and contributed to the manuscript.,Wild Gazelles of the Southern Levant: Genetic Profiling Defines New Conservation Priorities
1812,2620,2501,10.1371/journal.pone.0119412,1445,2015-03-12T00:00:00Z,"Feng Qin,Yu-Fei Wang,David K Ferguson,Wen-Li Chen,Ya-Meng Li,Zhe Cai,Qing Wang,Hong-Zhen Ma,Cheng-Sen Li",15,10,"Qin et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited","This research was supported by the China National Key Basic Research Program (2014CB954201), the National Natural Science Foundation of China (No. 30990241), and the State Key Laboratory of Systematic and Evolutionary Botany (No. LSEB2012-09). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Utility of Surface Pollen Assemblages to Delimit Eastern Eurasian Steppe Types
